,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.65609765,0.5294644,3.0669208,2.6953573,0.62972844,1.0257933,2.8903112,2.3579292,3.4007893,1.2423139,1.3964633,0.0,2.0184588,1.0603201,3.3613882,0.4794647,2.6682808,0.48793185,3.0996547,2.4269047
1,3.5131326,3.2226338,0.0,0.47087166,3.2513583,2.9280105,0.9444375,2.3223155,0.0,3.606077,0.23293433,3.586392,3.9029603,1.2986966,0.9321744,3.3562465,0.0,3.2085524,1.8451626,2.1485784
2,0.7396398,0.26546767,2.2503064,1.9234251,0.42217585,1.0331444,2.2628036,1.7440062,2.5161273,1.1392634,1.2774363,0.0,1.3295343,0.53706956,2.6106212,0.16799681,2.0315244,0.17268029,2.3702402,1.7935778
3,0.2856796,0.3782199,2.5475943,2.2377195,0.45991027,0.75771636,2.2109027,1.7802105,2.9036915,1.056584,1.3016447,0.0,1.8362246,1.1130999,2.6549778,0.28321177,2.2981224,0.43360925,2.581419,2.0501196
4,3.1536572,2.9380603,0.0,0.74311125,3.063342,3.551478,0.49322975,1.4052078,0.0,4.04706,0.62901735,3.373486,2.2849135,1.6147993,1.0042818,4.1932764,0.0,3.1830406,1.601692,1.1362389
5,0.9528483,1.0383413,0.0,0.4436559,1.5838561,1.2759289,0.47909316,0.11037597,0.0,1.048582,0.0,0.720398,0.0,0.7389496,0.97393197,1.9638407,0.0900782,1.5141103,0.92451483,0.0
6,0.4355757,0.3605321,0.0,0.10764683,0.55458343,0.81137383,0.1680538,0.190673,0.0,0.85128736,0.14243923,0.60817444,0.56666225,0.5383341,0.27302027,0.45064032,0.23756996,0.6707548,0.40529996,0.12914796
7,0.09576975,0.16049047,2.0500002,1.7676852,0.020331651,1.280874,1.828537,1.4625875,2.3211548,1.8422375,1.63559,0.0,0.84570986,0.9499865,2.2726433,0.13446245,1.9793651,0.04529023,1.9652705,1.5058931
8,1.0029752,0.97878516,0.0,0.43448848,1.0962627,1.8559906,0.46552217,0.27782515,0.0,1.5504789,0.26186717,0.9107574,0.24737576,0.95462465,0.48211628,1.6747054,0.105910175,0.8033731,0.7309007,0.0
9,0.30855054,0.39563918,0.0,0.434876,0.63414943,1.096453,0.32598025,0.029867694,0.24049544,0.7256315,0.2913726,0.020887498,0.0,0.0,0.4746077,0.83035266,0.19236955,0.49102372,0.48122108,0.052308314
10,0.41167966,0.438807,2.2186842,1.9197044,0.4153865,0.4652819,1.8969862,1.6682986,2.4007344,0.86732304,1.1038578,0.0,1.9701977,0.7214053,2.293535,0.33950856,1.9125903,0.33187366,2.309191,1.8741286
11,3.0763874,2.6798816,0.0,0.5110013,3.39991,2.7664,0.7142198,0.75074613,0.0,3.058147,0.15564623,2.7622654,1.6377612,0.72479653,1.3850458,3.678577,0.17791729,3.446211,2.049958,1.0292616
12,0.2039042,0.30026048,1.865375,1.5680048,0.06355804,1.119643,1.8032045,1.4551938,2.1174493,1.6552534,1.54403,0.0,0.88531,0.72359407,2.2631905,0.083142,1.54982,0.0,1.8978571,1.5424168
13,0.9777001,1.1250478,0.0,0.45161903,1.9178038,1.3692253,0.8798907,0.25656503,0.0,0.72949505,0.0,0.47405916,0.0,0.17133178,1.1673646,2.0944076,0.14222112,1.3282969,1.2019273,0.0
14,0.3348589,0.20231602,1.8167093,1.5331109,0.44334456,1.0946867,2.0044518,1.3303413,2.045632,0.74320924,0.9910028,0.0,0.72247505,0.67661464,2.1002274,0.40993735,1.3642082,0.3293673,1.9124,1.2466322
15,0.53002036,0.24429621,2.3695924,1.9610603,0.66798806,0.7471427,2.179131,1.6315264,2.6138115,0.696406,0.9828604,0.0,1.4669836,0.74223405,2.507021,0.35323122,2.1200457,0.42397657,2.4769278,1.8036215
16,2.5948215,2.7011235,0.0,0.68656605,3.0544727,2.954904,0.5750668,0.7153384,0.0,3.059475,0.2745917,2.5217266,0.94569826,1.3555102,1.0980744,4.0143576,0.0,2.9492884,1.5993075,0.3999682
17,0.24847469,0.32504222,2.251877,2.0291026,0.053120732,1.3795989,2.1838481,1.7282102,2.6940184,1.8380778,1.5795932,0.0,0.9661511,0.9702066,2.6101656,0.17165217,2.0802624,0.008108437,2.1982303,1.75534
18,2.8299499,2.580401,0.0,0.5675637,2.2544773,2.8399224,0.47557333,2.08918,0.0,3.4657397,0.35624546,3.3608441,3.3750813,1.6309726,0.5605036,2.984034,0.0,2.521753,1.297683,1.721847
19,0.8088982,0.50658333,0.1314946,0.12805678,0.9677522,0.43064448,0.94118017,0.63377863,0.0,0.21634191,0.0,0.46788222,0.8334093,0.14070748,0.64012253,0.8065953,0.34691384,1.2711055,0.6976596,0.63567144
