,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.0,0.0,0.13599838,0.0,0.0,0.0,0.6278043,0.0,0.8930993,0.0,0.0,0.0,0.0,0.0,0.09709433,0.06257221,1.2061131,0.0064435005,0.0,0.0
1,1.0442713,0.012416311,0.0,1.5071046,1.9513103,0.0,0.0,0.51829994,0.0,0.082019374,2.402152,0.7225187,0.0,0.0,0.0,0.0,0.0,2.1222687,0.2786296,0.0
2,0.0,0.0,0.03751126,0.0,0.0,0.0,0.4793098,0.0,0.58421254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7966126,0.0,0.0,0.0
3,0.0,0.0,0.14858353,0.0,0.0,0.0,0.66505796,0.0,0.8858025,0.0,0.0,0.0,0.0,0.0,0.044634357,0.06695852,1.2184279,0.0,0.0,0.0
4,0.67324907,0.0,0.0,1.4646043,1.7132648,0.0,0.0,0.30546695,0.0,0.015293192,2.3721137,0.5707382,0.0,0.0,0.0,0.0,0.0,1.9810095,0.0,0.0
5,0.0,0.026987597,0.1380951,0.39881283,0.29774353,0.0,0.0,0.068028525,0.0,0.0,0.40476894,0.0,0.0,0.0,0.0,0.0,0.0,0.45764577,0.0,0.0
6,0.0,0.0,0.0,0.109611586,0.24755761,0.04122138,0.0,0.0,0.0,0.112634495,0.1363843,0.062475696,0.0,0.0,0.0,0.0,0.01651987,0.3656652,0.017967716,0.0
7,0.0,0.0,0.037934408,0.0,0.0,0.0,0.53774995,0.0,0.6796235,0.0,0.0,0.0,0.0,0.0,0.04035096,0.0010751113,0.9645507,0.0,0.0,0.0
8,0.11475815,0.0,0.019005701,0.29904014,0.5453833,0.042842716,0.0,0.0,0.0,0.012470596,0.50094527,0.0,0.0,0.0,0.0,0.0,0.0,0.61526835,0.033719316,0.013882302
9,0.0,0.0,0.0,0.12783492,0.120070525,0.008214604,0.0,0.0,0.08167517,0.0,0.19790429,0.0,0.0,0.0,0.0,0.0,0.0,0.31267455,0.0,0.0
10,0.0,0.0,0.13993138,0.0,0.03511727,0.0,0.6570475,0.0,0.8958311,0.0,0.0,0.0,0.0,0.0,0.086062625,0.045758385,1.2076313,0.0,0.0,0.0
11,0.5449532,0.0,0.027232945,1.1826346,1.240649,0.0,0.0,0.24547179,0.0,0.14912198,1.7152799,0.42753425,0.0,0.0,0.0,0.0,0.0,1.5673645,0.0,0.0
12,0.0,0.0,0.07274355,0.0,0.0,0.0,0.52683514,0.0,0.6405854,0.0,0.0,0.0,0.0,0.0,0.010720044,0.056217074,0.8550278,0.0,0.0,0.0
13,0.0,0.1307936,0.0,0.11406408,0.38022628,0.0,0.0,0.0,0.0,0.0,0.25743237,0.0,0.0,0.0,0.0,0.0,0.0,0.38788062,0.097141035,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.1313528,0.0,0.18015248,0.0,0.0,0.0,0.0,0.083348356,0.0,0.0,0.17806599,0.15699765,0.0,0.0
15,0.0,0.0,0.07980406,0.0,0.036034256,0.0,0.5067003,0.0,0.6602164,0.0,0.0,0.0,0.0,0.0,0.012837112,0.0077671893,0.9122938,0.030752502,0.0,0.0
16,0.35707814,0.09801279,0.06281456,1.1131679,1.1962062,0.0,0.0,0.2054269,0.0,0.005163949,1.6928225,0.32989323,0.0,0.0,0.0,0.0,0.0,1.4342542,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.4490021,0.0,0.5601865,0.0,0.0,0.0,0.0,0.0,0.0,0.0063759834,0.75285757,0.0,0.0,0.0
18,0.7870139,0.0,0.0,1.2268481,1.4934634,0.0,0.0,0.39504835,0.0,0.0,2.0241866,0.5604815,0.0,0.0,0.0,0.0,0.0,1.8915647,0.13054973,0.0
19,0.06993609,0.0,0.0,0.28378356,0.21757737,0.0,0.14984766,0.23994267,0.0,0.0,0.040116593,0.062938794,0.0,0.0,0.0,0.0,0.14393555,0.49529347,0.0,0.0
20,0.0942506,0.0,0.0,0.6090354,0.561926,0.0,0.0,0.06786694,0.0,0.0,0.89852226,0.09830131,0.0,0.103568226,0.0,0.0,0.007043354,0.9042462,0.0,0.0
21,1.0218197,0.0,0.0,1.7135267,2.1265855,0.0,0.0,0.60929734,0.0,0.0,2.5665483,0.8070756,0.0,0.0,0.0,0.0,0.0,2.337366,0.15032476,0.0
22,0.0,0.0,0.21515596,0.0,0.0,0.0,0.69253397,0.0,0.9437268,0.0,0.0,0.0,0.0,0.0,0.12018021,0.0,1.2378583,0.023700535,0.0,0.0
23,0.0,0.0,0.1045941,0.0,0.0,0.0,0.5799259,0.0,0.7093277,0.0,0.0,0.0,0.0,0.0,0.03130398,0.0,0.9917734,0.0071643293,0.0,0.0
24,0.0,0.0,0.104155645,0.0,0.0,0.0,0.4862664,0.0,0.69141406,0.0,0.0,0.0,0.0,0.0,0.057285354,0.02184416,0.9097669,0.06740491,0.0,0.0
25,0.7285649,0.049310118,0.0,1.455719,1.83054,0.0,0.0,0.428832,0.0,0.0,2.166904,0.7148529,0.0,0.0,0.0,0.0,0.0,1.6962135,0.0,0.0
26,0.0,0.0,0.12995693,0.0,0.0,0.0,0.8312998,0.0,1.0483224,0.0,0.0,0.0,0.0,0.0,0.10068633,0.051842324,1.4719254,0.0,0.0,0.0
27,0.0,0.0,0.08270524,0.0,0.0,0.0,0.4850476,0.0,0.61933976,0.0,0.0,0.0,0.0,0.0,0.06336269,0.028420698,0.857636,0.032785192,0.0,0.0
28,1.62818,0.10971893,0.0,2.0981839,2.7324553,0.0,0.0,0.6920689,0.0,0.0,3.1338892,1.0140053,0.0,0.0,0.0,0.0,0.0,2.999535,0.37522173,0.0
29,0.0,0.0,0.11405037,0.0,0.0,0.0,0.7306735,0.0,0.97856927,0.0,0.0,0.0,0.0,0.0,0.07053079,0.032376446,1.3330164,0.0,0.0,0.0
30,0.05723536,0.0,0.0444723,0.0,0.084050074,0.0,0.3855771,0.0,0.61146903,0.0,0.0,0.013333261,0.0,0.03565959,0.043673493,0.0,0.8760164,0.16859695,0.01688841,0.0
